title,price,rating,reviews,size
"CIVAGO 32 oz Glass Water Bottle with Straw and Handle, Large Sports Motivational Water Bottle Flask with Time Marker and 2 Lids, Leakproof Water Jug Canteen with Silicone Sleeve for Gym,Black",$14.95,4.5 out of 5 stars,"2,022 ratings",32 Ounces
"Clear Glass Bottles with Lids 18 oz, Reusable Glass Water Bottles with Stainless Steel Cap for Juicing, Refrigerator,100% Leak Proof, BPA Free, Juice Water Bottle Set of 6",,4.6 out of 5 stars,"3,176 ratings",18oz glass 6pack
"Sursip Glass Juice Bottles 6 Pack 16 oz – Wide Mouth Reusable Bottles with Stainless Steel Lids – Heat-Resistant Borosilicate Glass, BPA Free, Leakproof for Juicing, Smoothies, Milk, Infused Water",$36.99,4.7 out of 5 stars,18 ratings,Clear-6set/16oz
3 Packs Glass Water Bottles with Lid Clear Juice Bottles Reusable Bottle with Stainless Steel Cap Glass Cups Liquid Storage Containers for Juicing Beverage Refrigerator Travel-18oz,$9.99,4.5 out of 5 stars,248 ratings,
"Epica glass bottles with lids – 18oz glass water bottles, reusable juice jar with lids for storing juices, reusable water bottle durable & ecofriendly set of 6",,4.3 out of 5 stars,"24,530 ratings",Glass Bottles 18 oz.
"Sursip 18oz Glass Water Bottle Set of 6, Clear glass juice bottle for juicing，Reusable Drinking Bottles with Stainless Steel Lid，Beverage Storage Containers for Refrigerator-BPA Free，Leak Proof",,4.3 out of 5 stars,581 ratings,Clear-6set/18oz
"18 Oz Glass Bottles, 4 Pack Glass Juice Bottles with Lids, BPA Free, Borosilicate Glass, Leak Proof Lids for Juicing, Smoothies, Infused Water, Beverage Storage, Shaker Bottles",$27.99,5.0 out of 5 stars,6 ratings,18 oz
"64 oz Glass Water Bottle With Straw and Handle, Half Gallon Sports Motivational Water Jug Flask with Silicone Sleeve, Large Water Cup with Time Marker for Travel, Gym, Black",$18.39,4.5 out of 5 stars,476 ratings,Black
"Ello Syndicate Glass Water Bottle with One-Touch Flip Lid, Grey , 20-ounce",,4.3 out of 5 stars,"1,712 ratings",Grey
"veegoal 25 Oz Borosilicate Glass Water Bottles with Bamboo Lid, BPA-FREE, Non-Slip Silicone Sleeve, and Stainless Steel Leak Proof Lid - Reusable Glass Bottle for Men and Women",,4.3 out of 5 stars,"4,117 ratings",25 Ounces
sunkey Glass Water Bottle 32 oz High Borosilicate with Neoprene Sleeve Leak Proof Lid Reusable Eco Friendly Bpa Free,$16.99,4.4 out of 5 stars,"1,221 ratings",
